sample_name,dataset,file,reference_genome
HG02283,1000G,,GRCh37
HG02284,1000G,,GRCh37
HG02285,1000G,,GRCh37
HG02286,1000G,,GRCh37
HG02291,1000G,,GRCh37
HG02292,1000G,,GRCh37
HG02298,1000G,,GRCh37
HG02299,1000G,,GRCh37
HG02301,1000G,,GRCh37
HG02304,1000G,,GRCh37
HG02307,1000G,,GRCh37
HG02308,1000G,,GRCh37
HG02309,1000G,,GRCh37
HG02312,1000G,,GRCh37
HG02314,1000G,,GRCh37
HG02315,1000G,,GRCh37
HG02317,1000G,,GRCh37
HG02318,1000G,,GRCh37
HG02322,1000G,,GRCh37
HG02323,1000G,,GRCh37
HG02325,1000G,,GRCh37
HG02330,1000G,,GRCh37
HG02332,1000G,,GRCh37
HG02334,1000G,,GRCh37
HG02337,1000G,,GRCh37
HG02339,1000G,,GRCh37
HG02343,1000G,,GRCh37
HG02345,1000G,,GRCh37
HG02348,1000G,,GRCh37
HG02351,1000G,,GRCh37
HG02353,1000G,,GRCh37
HG02355,1000G,,GRCh37
HG02356,1000G,,GRCh37
HG02360,1000G,,GRCh37
HG02364,1000G,,GRCh37
HG02367,1000G,,GRCh37
HG02371,1000G,,GRCh37
HG02373,1000G,,GRCh37
HG02374,1000G,,GRCh37
HG02375,1000G,,GRCh37
HG02379,1000G,,GRCh37
HG02380,1000G,,GRCh37
HG02382,1000G,,GRCh37
HG02383,1000G,,GRCh37
HG02384,1000G,,GRCh37
HG02385,1000G,,GRCh37
HG02386,1000G,,GRCh37
HG02389,1000G,,GRCh37
HG02390,1000G,,GRCh37
HG02391,1000G,,GRCh37
HG02392,1000G,,GRCh37
HG02394,1000G,,GRCh37
HG02395,1000G,,GRCh37
HG02396,1000G,,GRCh37
HG02397,1000G,,GRCh37
HG02398,1000G,,GRCh37
HG02399,1000G,,GRCh37
HG02401,1000G,,GRCh37
HG02402,1000G,,GRCh37
HG02406,1000G,,GRCh37
HG02407,1000G,,GRCh37
HG02408,1000G,,GRCh37
HG02409,1000G,,GRCh37
HG02410,1000G,,GRCh37
HG02419,1000G,,GRCh37
HG02420,1000G,,GRCh37
HG02425,1000G,,GRCh37
HG02427,1000G,,GRCh37
HG02429,1000G,,GRCh37
HG02433,1000G,,GRCh37
HG02439,1000G,,GRCh37
HG02442,1000G,,GRCh37
HG02445,1000G,,GRCh37
HG02449,1000G,,GRCh37
HG02450,1000G,,GRCh37
HG02455,1000G,,GRCh37
HG02461,1000G,,GRCh37
HG02462,1000G,,GRCh37
HG02464,1000G,,GRCh37
HG02465,1000G,,GRCh37
HG02470,1000G,,GRCh37
HG02471,1000G,,GRCh37
HG02476,1000G,,GRCh37
HG02477,1000G,,GRCh37
HG02479,1000G,,GRCh37
HG02481,1000G,,GRCh37
HG02484,1000G,,GRCh37
HG02485,1000G,,GRCh37
HG02489,1000G,,GRCh37
HG02490,1000G,,GRCh37
HG02491,1000G,,GRCh37
HG02493,1000G,,GRCh37
HG02494,1000G,,GRCh37
HG02496,1000G,,GRCh37
HG02497,1000G,,GRCh37
HG02501,1000G,,GRCh37
HG02502,1000G,,GRCh37
HG02505,1000G,,GRCh37
HG02508,1000G,,GRCh37
HG02511,1000G,,GRCh37
HG02512,1000G,,GRCh37
HG02513,1000G,,GRCh37
HG02521,1000G,,GRCh37
HG02522,1000G,,GRCh37
HG02536,1000G,,GRCh37
HG02537,1000G,,GRCh37
HG02541,1000G,,GRCh37
HG02545,1000G,,GRCh37
HG02546,1000G,,GRCh37
HG02549,1000G,,GRCh37
HG02554,1000G,,GRCh37
HG02555,1000G,,GRCh37
HG02557,1000G,,GRCh37
HG02558,1000G,,GRCh37
HG02561,1000G,,GRCh37
HG02562,1000G,,GRCh37
HG02568,1000G,,GRCh37
HG02570,1000G,,GRCh37
HG02571,1000G,,GRCh37
HG02573,1000G,,GRCh37
HG02574,1000G,,GRCh37
HG02577,1000G,,GRCh37
HG02580,1000G,,GRCh37
HG02582,1000G,,GRCh37
HG02583,1000G,,GRCh37
HG02585,1000G,,GRCh37
HG02586,1000G,,GRCh37
HG02588,1000G,,GRCh37
HG02589,1000G,,GRCh37
HG02594,1000G,,GRCh37
HG02595,1000G,,GRCh37
HG02597,1000G,,GRCh37
HG02600,1000G,,GRCh37
HG02601,1000G,,GRCh37
HG02603,1000G,,GRCh37
HG02604,1000G,,GRCh37
HG02610,1000G,,GRCh37
HG02611,1000G,,GRCh37
HG02613,1000G,,GRCh37
HG02614,1000G,,GRCh37
HG02620,1000G,,GRCh37
HG02621,1000G,,GRCh37
HG02623,1000G,,GRCh37
HG02624,1000G,,GRCh37
HG02628,1000G,,GRCh37
HG02629,1000G,,GRCh37
HG02634,1000G,,GRCh37
HG02635,1000G,,GRCh37
HG02642,1000G,,GRCh37
HG02643,1000G,,GRCh37
HG02645,1000G,,GRCh37
HG02646,1000G,,GRCh37
HG02648,1000G,,GRCh37
HG02649,1000G,,GRCh37
HG02651,1000G,,GRCh37
HG02652,1000G,,GRCh37
HG02654,1000G,,GRCh37
HG02655,1000G,,GRCh37
HG02657,1000G,,GRCh37
HG02658,1000G,,GRCh37
HG02660,1000G,,GRCh37
HG02661,1000G,,GRCh37
HG02666,1000G,,GRCh37
HG02667,1000G,,GRCh37
HG02675,1000G,,GRCh37
HG02676,1000G,,GRCh37
HG02678,1000G,,GRCh37
HG02679,1000G,,GRCh37
HG02681,1000G,,GRCh37
HG02682,1000G,,GRCh37
HG02684,1000G,,GRCh37
HG02685,1000G,,GRCh37
HG02687,1000G,,GRCh37
HG02688,1000G,,GRCh37
HG02690,1000G,,GRCh37
HG02691,1000G,,GRCh37
HG02694,1000G,,GRCh37
HG02696,1000G,,GRCh37
HG02697,1000G,,GRCh37
HG02699,1000G,,GRCh37
HG02700,1000G,,GRCh37
HG02702,1000G,,GRCh37
HG02703,1000G,,GRCh37
HG02715,1000G,,GRCh37
HG02716,1000G,,GRCh37
HG02721,1000G,,GRCh37
HG02722,1000G,,GRCh37
HG02724,1000G,,GRCh37
HG02725,1000G,,GRCh37
HG02727,1000G,,GRCh37
HG02728,1000G,,GRCh37
HG02731,1000G,,GRCh37
HG02733,1000G,,GRCh37
HG02734,1000G,,GRCh37
HG02736,1000G,,GRCh37
HG02737,1000G,,GRCh37
HG02756,1000G,,GRCh37
HG02757,1000G,,GRCh37
HG02759,1000G,,GRCh37
HG02760,1000G,,GRCh37
HG02763,1000G,,GRCh37
HG02768,1000G,,GRCh37
HG02769,1000G,,GRCh37
HG02771,1000G,,GRCh37
HG02772,1000G,,GRCh37
HG02774,1000G,,GRCh37
HG02775,1000G,,GRCh37
HG02778,1000G,,GRCh37
HG02780,1000G,,GRCh37
HG02783,1000G,,GRCh37
HG02784,1000G,,GRCh37
HG02786,1000G,,GRCh37
HG02787,1000G,,GRCh37
HG02789,1000G,,GRCh37
HG02790,1000G,,GRCh37
HG02792,1000G,,GRCh37
HG02793,1000G,,GRCh37
HG02798,1000G,,GRCh37
HG02799,1000G,,GRCh37
HG02804,1000G,,GRCh37
HG02805,1000G,,GRCh37
HG02807,1000G,,GRCh37
HG02808,1000G,,GRCh37
HG02810,1000G,,GRCh37
HG02811,1000G,,GRCh37
HG02813,1000G,,GRCh37
HG02814,1000G,,GRCh37
HG02816,1000G,,GRCh37
HG02817,1000G,,GRCh37
HG02819,1000G,,GRCh37
HG02820,1000G,,GRCh37
HG02836,1000G,,GRCh37
HG02837,1000G,,GRCh37
HG02839,1000G,,GRCh37
HG02840,1000G,,GRCh37
HG02851,1000G,,GRCh37
HG02852,1000G,,GRCh37
HG02854,1000G,,GRCh37
HG02855,1000G,,GRCh37
HG02860,1000G,,GRCh37
HG02861,1000G,,GRCh37
HG02870,1000G,,GRCh37
HG02878,1000G,,GRCh37
HG02879,1000G,,GRCh37
HG02881,1000G,,GRCh37
HG02882,1000G,,GRCh37
HG02884,1000G,,GRCh37
HG02885,1000G,,GRCh37
HG02887,1000G,,GRCh37
HG02888,1000G,,GRCh37
HG02890,1000G,,GRCh37
HG02891,1000G,,GRCh37
HG02895,1000G,,GRCh37
HG02896,1000G,,GRCh37
HG02922,1000G,,GRCh37
HG02923,1000G,,GRCh37
HG02938,1000G,,GRCh37
HG02941,1000G,,GRCh37
HG02943,1000G,,GRCh37
HG02944,1000G,,GRCh37
HG02946,1000G,,GRCh37
HG02947,1000G,,GRCh37
HG02952,1000G,,GRCh37
HG02953,1000G,,GRCh37
HG02968,1000G,,GRCh37
HG02970,1000G,,GRCh37
HG02971,1000G,,GRCh37
HG02973,1000G,,GRCh37
HG02974,1000G,,GRCh37
HG02976,1000G,,GRCh37
HG02977,1000G,,GRCh37
HG02979,1000G,,GRCh37
HG02981,1000G,,GRCh37
HG02982,1000G,,GRCh37
HG02983,1000G,,GRCh37
HG03006,1000G,,GRCh37
HG03007,1000G,,GRCh37
HG03009,1000G,,GRCh37
HG03012,1000G,,GRCh37
HG03015,1000G,,GRCh37
HG03016,1000G,,GRCh37
HG03018,1000G,,GRCh37
HG03019,1000G,,GRCh37
HG03021,1000G,,GRCh37
HG03022,1000G,,GRCh37
HG03024,1000G,,GRCh37
HG03025,1000G,,GRCh37
HG03027,1000G,,GRCh37
HG03028,1000G,,GRCh37
HG03039,1000G,,GRCh37
HG03040,1000G,,GRCh37
HG03045,1000G,,GRCh37
HG03046,1000G,,GRCh37
HG03048,1000G,,GRCh37
HG03049,1000G,,GRCh37
HG03052,1000G,,GRCh37
HG03054,1000G,,GRCh37
HG03055,1000G,,GRCh37
HG03057,1000G,,GRCh37
HG03058,1000G,,GRCh37
HG03060,1000G,,GRCh37
HG03061,1000G,,GRCh37
HG03063,1000G,,GRCh37
HG03064,1000G,,GRCh37
HG03066,1000G,,GRCh37
HG03069,1000G,,GRCh37
HG03072,1000G,,GRCh37
HG03073,1000G,,GRCh37
HG03074,1000G,,GRCh37
HG03077,1000G,,GRCh37
HG03078,1000G,,GRCh37
HG03079,1000G,,GRCh37
HG03081,1000G,,GRCh37
HG03082,1000G,,GRCh37
HG03084,1000G,,GRCh37
HG03085,1000G,,GRCh37
HG03086,1000G,,GRCh37
HG03088,1000G,,GRCh37
HG03091,1000G,,GRCh37
HG03095,1000G,,GRCh37
HG03096,1000G,,GRCh37
HG03097,1000G,,GRCh37
HG03099,1000G,,GRCh37
HG03100,1000G,,GRCh37
HG03103,1000G,,GRCh37
HG03105,1000G,,GRCh37
HG03108,1000G,,GRCh37
HG03109,1000G,,GRCh37
HG03111,1000G,,GRCh37
HG03112,1000G,,GRCh37
HG03114,1000G,,GRCh37
HG03115,1000G,,GRCh37
HG03117,1000G,,GRCh37
HG03118,1000G,,GRCh37
HG03120,1000G,,GRCh37
HG03121,1000G,,GRCh37
HG03123,1000G,,GRCh37
HG03124,1000G,,GRCh37
HG03126,1000G,,GRCh37
HG03127,1000G,,GRCh37
HG03129,1000G,,GRCh37
HG03130,1000G,,GRCh37
HG03132,1000G,,GRCh37
HG03133,1000G,,GRCh37
HG03135,1000G,,GRCh37
HG03136,1000G,,GRCh37
HG03139,1000G,,GRCh37
HG03157,1000G,,GRCh37
HG03159,1000G,,GRCh37
HG03160,1000G,,GRCh37
HG03162,1000G,,GRCh37
HG03163,1000G,,GRCh37
HG03166,1000G,,GRCh37
HG03168,1000G,,GRCh37
HG03169,1000G,,GRCh37
HG03172,1000G,,GRCh37
HG03175,1000G,,GRCh37
HG03189,1000G,,GRCh37
HG03190,1000G,,GRCh37
HG03193,1000G,,GRCh37
HG03195,1000G,,GRCh37
HG03196,1000G,,GRCh37
HG03198,1000G,,GRCh37
HG03199,1000G,,GRCh37
HG03202,1000G,,GRCh37
HG03209,1000G,,GRCh37
HG03212,1000G,,GRCh37
HG03224,1000G,,GRCh37
HG03225,1000G,,GRCh37
HG03228,1000G,,GRCh37
HG03229,1000G,,GRCh37
HG03234,1000G,,GRCh37
HG03235,1000G,,GRCh37
HG03237,1000G,,GRCh37
HG03238,1000G,,GRCh37
HG03240,1000G,,GRCh37
HG03241,1000G,,GRCh37
HG03246,1000G,,GRCh37
HG03247,1000G,,GRCh37
HG03258,1000G,,GRCh37
HG03259,1000G,,GRCh37
HG03265,1000G,,GRCh37
HG03267,1000G,,GRCh37
HG03268,1000G,,GRCh37
HG03270,1000G,,GRCh37
HG03271,1000G,,GRCh37
HG03279,1000G,,GRCh37
HG03280,1000G,,GRCh37
HG03291,1000G,,GRCh37
HG03294,1000G,,GRCh37
HG03295,1000G,,GRCh37
HG03297,1000G,,GRCh37
HG03298,1000G,,GRCh37
HG03300,1000G,,GRCh37
HG03301,1000G,,GRCh37
HG03303,1000G,,GRCh37
HG03304,1000G,,GRCh37
HG03311,1000G,,GRCh37
HG03313,1000G,,GRCh37
HG03342,1000G,,GRCh37
HG03343,1000G,,GRCh37
HG03351,1000G,,GRCh37
HG03352,1000G,,GRCh37
HG03354,1000G,,GRCh37
HG03363,1000G,,GRCh37
HG03366,1000G,,GRCh37
HG03367,1000G,,GRCh37
HG03369,1000G,,GRCh37
HG03370,1000G,,GRCh37
HG03372,1000G,,GRCh37
HG03376,1000G,,GRCh37
HG03378,1000G,,GRCh37
HG03380,1000G,,GRCh37
HG03382,1000G,,GRCh37
HG03385,1000G,,GRCh37
HG03388,1000G,,GRCh37
HG03391,1000G,,GRCh37
HG03394,1000G,,GRCh37
HG03397,1000G,,GRCh37
HG03401,1000G,,GRCh37
HG03410,1000G,,GRCh37
HG03419,1000G,,GRCh37
HG03428,1000G,,GRCh37
HG03432,1000G,,GRCh37
HG03433,1000G,,GRCh37
HG03436,1000G,,GRCh37
HG03437,1000G,,GRCh37
HG03439,1000G,,GRCh37
HG03442,1000G,,GRCh37
HG03445,1000G,,GRCh37
HG03446,1000G,,GRCh37
HG03449,1000G,,GRCh37
HG03451,1000G,,GRCh37
HG03452,1000G,,GRCh37
HG03455,1000G,,GRCh37
HG03457,1000G,,GRCh37
HG03458,1000G,,GRCh37
HG03460,1000G,,GRCh37
HG03461,1000G,,GRCh37
HG03464,1000G,,GRCh37
HG03469,1000G,,GRCh37
HG03470,1000G,,GRCh37
HG03472,1000G,,GRCh37
HG03473,1000G,,GRCh37
HG03476,1000G,,GRCh37
HG03478,1000G,,GRCh37
HG03479,1000G,,GRCh37
HG03484,1000G,,GRCh37
HG03485,1000G,,GRCh37
HG03488,1000G,,GRCh37
HG03490,1000G,,GRCh37
HG03491,1000G,,GRCh37
HG03499,1000G,,GRCh37
HG03511,1000G,,GRCh37
HG03514,1000G,,GRCh37
HG03515,1000G,,GRCh37
HG03517,1000G,,GRCh37
HG03518,1000G,,GRCh37
HG03520,1000G,,GRCh37
HG03521,1000G,,GRCh37
HG03538,1000G,,GRCh37
HG03539,1000G,,GRCh37
HG03547,1000G,,GRCh37
HG03548,1000G,,GRCh37
HG03556,1000G,,GRCh37
HG03557,1000G,,GRCh37
HG03558,1000G,,GRCh37
HG03559,1000G,,GRCh37
HG03563,1000G,,GRCh37
HG03565,1000G,,GRCh37
HG03567,1000G,,GRCh37
HG03571,1000G,,GRCh37
HG03572,1000G,,GRCh37
HG03575,1000G,,GRCh37
HG03577,1000G,,GRCh37
HG03578,1000G,,GRCh37
HG03583,1000G,,GRCh37
HG03585,1000G,,GRCh37
HG03589,1000G,,GRCh37
HG03593,1000G,,GRCh37
HG03594,1000G,,GRCh37
HG03595,1000G,,GRCh37
HG03598,1000G,,GRCh37
HG03600,1000G,,GRCh37
HG03603,1000G,,GRCh37
HG03604,1000G,,GRCh37
HG03607,1000G,,GRCh37
HG03611,1000G,,GRCh37
HG03615,1000G,,GRCh37
HG03616,1000G,,GRCh37
HG03619,1000G,,GRCh37
HG03624,1000G,,GRCh37
HG03625,1000G,,GRCh37
HG03629,1000G,,GRCh37
HG03631,1000G,,GRCh37
HG03634,1000G,,GRCh37
HG03636,1000G,,GRCh37
HG03640,1000G,,GRCh37
HG03642,1000G,,GRCh37
HG03643,1000G,,GRCh37
HG03644,1000G,,GRCh37
HG03645,1000G,,GRCh37
HG03646,1000G,,GRCh37
HG03649,1000G,,GRCh37
HG03652,1000G,,GRCh37
HG03653,1000G,,GRCh37
HG03660,1000G,,GRCh37
HG03663,1000G,,GRCh37
HG03667,1000G,,GRCh37
HG03668,1000G,,GRCh37
HG03672,1000G,,GRCh37
HG03673,1000G,,GRCh37
HG03679,1000G,,GRCh37
HG03680,1000G,,GRCh37
HG03681,1000G,,GRCh37
HG03684,1000G,,GRCh37
HG03685,1000G,,GRCh37
HG03686,1000G,,GRCh37
HG03687,1000G,,GRCh37
HG03689,1000G,,GRCh37
HG03690,1000G,,GRCh37
HG03691,1000G,,GRCh37
HG03692,1000G,,GRCh37
HG03693,1000G,,GRCh37
HG03694,1000G,,GRCh37
HG03695,1000G,,GRCh37
HG03696,1000G,,GRCh37
HG03697,1000G,,GRCh37
HG03698,1000G,,GRCh37
HG03702,1000G,,GRCh37
HG03703,1000G,,GRCh37
HG03705,1000G,,GRCh37
HG03706,1000G,,GRCh37
HG03708,1000G,,GRCh37
HG03709,1000G,,GRCh37
HG03711,1000G,,GRCh37
HG03713,1000G,,GRCh37
HG03714,1000G,,GRCh37
HG03716,1000G,,GRCh37
HG03717,1000G,,GRCh37
HG03718,1000G,,GRCh37
HG03720,1000G,,GRCh37
HG03722,1000G,,GRCh37
HG03727,1000G,,GRCh37
HG03729,1000G,,GRCh37
HG03730,1000G,,GRCh37
HG03731,1000G,,GRCh37
HG03733,1000G,,GRCh37
HG03736,1000G,,GRCh37
HG03738,1000G,,GRCh37
HG03740,1000G,,GRCh37
HG03741,1000G,,GRCh37
HG03742,1000G,,GRCh37
HG03743,1000G,,GRCh37
HG03744,1000G,,GRCh37
HG03745,1000G,,GRCh37
HG03746,1000G,,GRCh37
HG03750,1000G,,GRCh37
HG03752,1000G,,GRCh37
HG03753,1000G,,GRCh37
HG03754,1000G,,GRCh37
HG03755,1000G,,GRCh37
HG03756,1000G,,GRCh37
HG03757,1000G,,GRCh37
HG03760,1000G,,GRCh37
HG03762,1000G,,GRCh37
HG03765,1000G,,GRCh37
HG03767,1000G,,GRCh37
HG03770,1000G,,GRCh37
HG03771,1000G,,GRCh37
HG03772,1000G,,GRCh37
HG03773,1000G,,GRCh37
HG03774,1000G,,GRCh37
HG03775,1000G,,GRCh37
HG03777,1000G,,GRCh37
HG03778,1000G,,GRCh37
HG03779,1000G,,GRCh37
HG03780,1000G,,GRCh37
HG03781,1000G,,GRCh37
HG03782,1000G,,GRCh37
HG03784,1000G,,GRCh37
HG03785,1000G,,GRCh37
HG03786,1000G,,GRCh37
HG03787,1000G,,GRCh37
HG03788,1000G,,GRCh37
HG03789,1000G,,GRCh37
HG03790,1000G,,GRCh37
HG03792,1000G,,GRCh37
HG03793,1000G,,GRCh37
HG03796,1000G,,GRCh37
HG03800,1000G,,GRCh37
HG03802,1000G,,GRCh37
HG03803,1000G,,GRCh37
HG03805,1000G,,GRCh37
HG03808,1000G,,GRCh37
HG03809,1000G,,GRCh37
HG03812,1000G,,GRCh37
HG03814,1000G,,GRCh37
HG03815,1000G,,GRCh37
HG03817,1000G,,GRCh37
HG03821,1000G,,GRCh37
HG03823,1000G,,GRCh37
HG03824,1000G,,GRCh37
HG03826,1000G,,GRCh37
HG03829,1000G,,GRCh37
HG03830,1000G,,GRCh37
HG03832,1000G,,GRCh37
HG03833,1000G,,GRCh37
HG03836,1000G,,GRCh37
HG03837,1000G,,GRCh37
HG03838,1000G,,GRCh37
HG03844,1000G,,GRCh37
HG03846,1000G,,GRCh37
HG03848,1000G,,GRCh37
HG03849,1000G,,GRCh37
HG03850,1000G,,GRCh37
HG03851,1000G,,GRCh37
HG03854,1000G,,GRCh37
HG03856,1000G,,GRCh37
HG03857,1000G,,GRCh37
HG03858,1000G,,GRCh37
HG03861,1000G,,GRCh37
HG03862,1000G,,GRCh37
HG03863,1000G,,GRCh37
HG03864,1000G,,GRCh37
HG03866,1000G,,GRCh37
HG03867,1000G,,GRCh37
HG03868,1000G,,GRCh37
HG03869,1000G,,GRCh37
HG03870,1000G,,GRCh37
HG03871,1000G,,GRCh37
HG03872,1000G,,GRCh37
HG03873,1000G,,GRCh37
HG03874,1000G,,GRCh37
HG03875,1000G,,GRCh37
HG03882,1000G,,GRCh37
HG03884,1000G,,GRCh37
HG03885,1000G,,GRCh37
HG03886,1000G,,GRCh37
HG03887,1000G,,GRCh37
HG03888,1000G,,GRCh37
HG03890,1000G,,GRCh37
HG03894,1000G,,GRCh37
HG03895,1000G,,GRCh37
HG03896,1000G,,GRCh37
HG03897,1000G,,GRCh37
HG03898,1000G,,GRCh37
HG03899,1000G,,GRCh37
HG03900,1000G,,GRCh37
HG03902,1000G,,GRCh37
HG03905,1000G,,GRCh37
HG03907,1000G,,GRCh37
HG03908,1000G,,GRCh37
HG03910,1000G,,GRCh37
HG03911,1000G,,GRCh37
HG03913,1000G,,GRCh37
HG03914,1000G,,GRCh37
HG03916,1000G,,GRCh37
HG03917,1000G,,GRCh37
HG03919,1000G,,GRCh37
HG03920,1000G,,GRCh37
HG03922,1000G,,GRCh37
HG03925,1000G,,GRCh37
HG03926,1000G,,GRCh37
HG03928,1000G,,GRCh37
HG03931,1000G,,GRCh37
HG03934,1000G,,GRCh37
HG03937,1000G,,GRCh37
HG03940,1000G,,GRCh37
HG03941,1000G,,GRCh37
HG03943,1000G,,GRCh37
HG03944,1000G,,GRCh37
HG03945,1000G,,GRCh37
HG03947,1000G,,GRCh37
HG03949,1000G,,GRCh37
HG03950,1000G,,GRCh37
HG03951,1000G,,GRCh37
HG03953,1000G,,GRCh37
HG03955,1000G,,GRCh37
HG03960,1000G,,GRCh37
HG03963,1000G,,GRCh37
HG03965,1000G,,GRCh37
HG03967,1000G,,GRCh37
HG03968,1000G,,GRCh37
HG03969,1000G,,GRCh37
HG03971,1000G,,GRCh37
HG03973,1000G,,GRCh37
HG03974,1000G,,GRCh37
HG03976,1000G,,GRCh37
HG03977,1000G,,GRCh37
HG03978,1000G,,GRCh37
HG03985,1000G,,GRCh37
HG03986,1000G,,GRCh37
HG03989,1000G,,GRCh37
HG03990,1000G,,GRCh37
HG03991,1000G,,GRCh37
HG03995,1000G,,GRCh37
HG03998,1000G,,GRCh37
HG03999,1000G,,GRCh37
HG04001,1000G,,GRCh37
HG04002,1000G,,GRCh37
HG04003,1000G,,GRCh37
HG04006,1000G,,GRCh37
HG04014,1000G,,GRCh37
HG04015,1000G,,GRCh37
HG04017,1000G,,GRCh37
HG04018,1000G,,GRCh37
HG04019,1000G,,GRCh37
HG04020,1000G,,GRCh37
HG04022,1000G,,GRCh37
HG04023,1000G,,GRCh37
HG04025,1000G,,GRCh37
HG04026,1000G,,GRCh37
HG04029,1000G,,GRCh37
HG04033,1000G,,GRCh37
HG04035,1000G,,GRCh37
HG04038,1000G,,GRCh37
HG04039,1000G,,GRCh37
HG04042,1000G,,GRCh37
HG04047,1000G,,GRCh37
HG04054,1000G,,GRCh37
HG04056,1000G,,GRCh37
HG04059,1000G,,GRCh37
HG04060,1000G,,GRCh37
HG04061,1000G,,GRCh37
HG04062,1000G,,GRCh37
HG04063,1000G,,GRCh37
HG04070,1000G,,GRCh37
HG04075,1000G,,GRCh37
HG04076,1000G,,GRCh37
HG04080,1000G,,GRCh37
HG04090,1000G,,GRCh37
HG04093,1000G,,GRCh37
HG04094,1000G,,GRCh37
HG04096,1000G,,GRCh37
HG04098,1000G,,GRCh37
HG04099,1000G,,GRCh37
HG04100,1000G,,GRCh37
HG04106,1000G,,GRCh37
HG04107,1000G,,GRCh37
HG04118,1000G,,GRCh37
HG04131,1000G,,GRCh37
HG04134,1000G,,GRCh37
HG04140,1000G,,GRCh37
HG04141,1000G,,GRCh37
HG04144,1000G,,GRCh37
HG04146,1000G,,GRCh37
HG04152,1000G,,GRCh37
HG04153,1000G,,GRCh37
HG04155,1000G,,GRCh37
HG04156,1000G,,GRCh37
HG04158,1000G,,GRCh37
HG04159,1000G,,GRCh37
HG04161,1000G,,GRCh37
HG04162,1000G,,GRCh37
HG04164,1000G,,GRCh37
HG04171,1000G,,GRCh37
HG04173,1000G,,GRCh37
HG04176,1000G,,GRCh37
HG04177,1000G,,GRCh37
HG04180,1000G,,GRCh37
HG04182,1000G,,GRCh37
HG04183,1000G,,GRCh37
HG04185,1000G,,GRCh37
HG04186,1000G,,GRCh37
HG04188,1000G,,GRCh37
HG04189,1000G,,GRCh37
HG04194,1000G,,GRCh37
HG04195,1000G,,GRCh37
HG04198,1000G,,GRCh37
HG04200,1000G,,GRCh37
HG04202,1000G,,GRCh37
HG04206,1000G,,GRCh37
HG04209,1000G,,GRCh37
HG04210,1000G,,GRCh37
HG04211,1000G,,GRCh37
HG04212,1000G,,GRCh37
HG04214,1000G,,GRCh37
HG04216,1000G,,GRCh37
HG04219,1000G,,GRCh37
HG04222,1000G,,GRCh37
HG04225,1000G,,GRCh37
HG04227,1000G,,GRCh37
HG04229,1000G,,GRCh37
HG04235,1000G,,GRCh37
HG04238,1000G,,GRCh37
HG04239,1000G,,GRCh37
NA06984,1000G,,GRCh37
NA06985,1000G,,GRCh37
NA06986,1000G,,GRCh37
NA06989,1000G,,GRCh37
NA06994,1000G,,GRCh37
NA07000,1000G,,GRCh37
NA07037,1000G,,GRCh37
NA07048,1000G,,GRCh37
NA07051,1000G,,GRCh37
NA07056,1000G,,GRCh37
NA07347,1000G,,GRCh37
NA07357,1000G,,GRCh37
NA10847,1000G,,GRCh37
NA10851,1000G,,GRCh37
NA11829,1000G,,GRCh37
NA11830,1000G,,GRCh37
NA11831,1000G,,GRCh37
NA11832,1000G,,GRCh37
NA11840,1000G,,GRCh37
NA11843,1000G,,GRCh37
NA11881,1000G,,GRCh37
NA11892,1000G,,GRCh37
NA11893,1000G,,GRCh37
NA11894,1000G,,GRCh37
NA11918,1000G,,GRCh37
NA11919,1000G,,GRCh37
NA11920,1000G,,GRCh37
NA11930,1000G,,GRCh37
NA11931,1000G,,GRCh37
NA11932,1000G,,GRCh37
NA11933,1000G,,GRCh37
NA11992,1000G,,GRCh37
NA11994,1000G,,GRCh37
NA11995,1000G,,GRCh37
NA12003,1000G,,GRCh37
NA12004,1000G,,GRCh37
NA12005,1000G,,GRCh37
NA12006,1000G,,GRCh37
NA12043,1000G,,GRCh37
NA12044,1000G,,GRCh37
NA12045,1000G,,GRCh37
NA12046,1000G,,GRCh37
NA12058,1000G,,GRCh37
NA12144,1000G,,GRCh37
NA12154,1000G,,GRCh37
NA12155,1000G,,GRCh37
NA12156,1000G,,GRCh37
NA12234,1000G,,GRCh37
NA12249,1000G,,GRCh37
NA12272,1000G,,GRCh37
NA12273,1000G,,GRCh37
NA12275,1000G,,GRCh37
NA12282,1000G,,GRCh37
NA12283,1000G,,GRCh37
NA12286,1000G,,GRCh37
NA12287,1000G,,GRCh37
NA12340,1000G,,GRCh37
NA12341,1000G,,GRCh37
NA12342,1000G,,GRCh37
NA12347,1000G,,GRCh37
NA12348,1000G,,GRCh37
NA12383,1000G,,GRCh37
NA12399,1000G,,GRCh37
NA12400,1000G,,GRCh37
NA12413,1000G,,GRCh37
NA12414,1000G,,GRCh37
NA12489,1000G,,GRCh37
NA12546,1000G,,GRCh37
NA12716,1000G,,GRCh37
NA12717,1000G,,GRCh37
NA12718,1000G,,GRCh37
NA12748,1000G,,GRCh37
NA12749,1000G,,GRCh37
NA12750,1000G,,GRCh37
NA12751,1000G,,GRCh37
NA12760,1000G,,GRCh37
NA12761,1000G,,GRCh37
NA12762,1000G,,GRCh37
NA12763,1000G,,GRCh37
NA12775,1000G,,GRCh37
NA12776,1000G,,GRCh37
NA12777,1000G,,GRCh37
NA12778,1000G,,GRCh37
NA12812,1000G,,GRCh37
NA12813,1000G,,GRCh37
NA12814,1000G,,GRCh37
