sample_name,dataset,file,reference_genome
HG00443,1000G,,GRCh37
HG00445,1000G,,GRCh37
HG00446,1000G,,GRCh37
HG00448,1000G,,GRCh37
HG00449,1000G,,GRCh37
HG00451,1000G,,GRCh37
HG00452,1000G,,GRCh37
HG00457,1000G,,GRCh37
HG00458,1000G,,GRCh37
HG00463,1000G,,GRCh37
HG00464,1000G,,GRCh37
HG00472,1000G,,GRCh37
HG00473,1000G,,GRCh37
HG00475,1000G,,GRCh37
HG00476,1000G,,GRCh37
HG00478,1000G,,GRCh37
HG00479,1000G,,GRCh37
HG00500,1000G,,GRCh37
HG00513,1000G,,GRCh37
HG00524,1000G,,GRCh37
HG00525,1000G,,GRCh37
HG00530,1000G,,GRCh37
HG00531,1000G,,GRCh37
HG00533,1000G,,GRCh37
HG00534,1000G,,GRCh37
HG00536,1000G,,GRCh37
HG00537,1000G,,GRCh37
HG00542,1000G,,GRCh37
HG00543,1000G,,GRCh37
HG00551,1000G,,GRCh37
HG00553,1000G,,GRCh37
HG00554,1000G,,GRCh37
HG00556,1000G,,GRCh37
HG00557,1000G,,GRCh37
HG00559,1000G,,GRCh37
HG00560,1000G,,GRCh37
HG00565,1000G,,GRCh37
HG00566,1000G,,GRCh37
HG00580,1000G,,GRCh37
HG00581,1000G,,GRCh37
HG00583,1000G,,GRCh37
HG00584,1000G,,GRCh37
HG00589,1000G,,GRCh37
HG00590,1000G,,GRCh37
HG00592,1000G,,GRCh37
HG00593,1000G,,GRCh37
HG00595,1000G,,GRCh37
HG00596,1000G,,GRCh37
HG00598,1000G,,GRCh37
HG00599,1000G,,GRCh37
HG00607,1000G,,GRCh37
HG00608,1000G,,GRCh37
HG00610,1000G,,GRCh37
HG00611,1000G,,GRCh37
HG00613,1000G,,GRCh37
HG00614,1000G,,GRCh37
HG00619,1000G,,GRCh37
HG00620,1000G,,GRCh37
HG00622,1000G,,GRCh37
HG00623,1000G,,GRCh37
HG00625,1000G,,GRCh37
HG00626,1000G,,GRCh37
HG00628,1000G,,GRCh37
HG00629,1000G,,GRCh37
HG00631,1000G,,GRCh37
HG00632,1000G,,GRCh37
HG00634,1000G,,GRCh37
HG00637,1000G,,GRCh37
HG00638,1000G,,GRCh37
HG00640,1000G,,GRCh37
HG00641,1000G,,GRCh37
HG00650,1000G,,GRCh37
HG00651,1000G,,GRCh37
HG00653,1000G,,GRCh37
HG00654,1000G,,GRCh37
HG00656,1000G,,GRCh37
HG00657,1000G,,GRCh37
HG00662,1000G,,GRCh37
HG00663,1000G,,GRCh37
HG00671,1000G,,GRCh37
HG00672,1000G,,GRCh37
HG00674,1000G,,GRCh37
HG00675,1000G,,GRCh37
HG00683,1000G,,GRCh37
HG00684,1000G,,GRCh37
HG00689,1000G,,GRCh37
HG00690,1000G,,GRCh37
HG00692,1000G,,GRCh37
HG00693,1000G,,GRCh37
HG00698,1000G,,GRCh37
HG00699,1000G,,GRCh37
HG00701,1000G,,GRCh37
HG00704,1000G,,GRCh37
HG00705,1000G,,GRCh37
HG00707,1000G,,GRCh37
HG00708,1000G,,GRCh37
HG00717,1000G,,GRCh37
HG00728,1000G,,GRCh37
HG00729,1000G,,GRCh37
HG00731,1000G,,GRCh37
HG00732,1000G,,GRCh37
HG00734,1000G,,GRCh37
HG00736,1000G,,GRCh37
HG00737,1000G,,GRCh37
HG00739,1000G,,GRCh37
HG00740,1000G,,GRCh37
HG00742,1000G,,GRCh37
HG00743,1000G,,GRCh37
HG00759,1000G,,GRCh37
HG00766,1000G,,GRCh37
HG00844,1000G,,GRCh37
HG00851,1000G,,GRCh37
HG00864,1000G,,GRCh37
HG00867,1000G,,GRCh37
HG00879,1000G,,GRCh37
HG00881,1000G,,GRCh37
HG00956,1000G,,GRCh37
HG00978,1000G,,GRCh37
HG00982,1000G,,GRCh37
HG01028,1000G,,GRCh37
HG01029,1000G,,GRCh37
HG01031,1000G,,GRCh37
HG01046,1000G,,GRCh37
HG01047,1000G,,GRCh37
HG01048,1000G,,GRCh37
HG01049,1000G,,GRCh37
HG01051,1000G,,GRCh37
HG01052,1000G,,GRCh37
HG01054,1000G,,GRCh37
HG01055,1000G,,GRCh37
HG01058,1000G,,GRCh37
HG01060,1000G,,GRCh37
HG01061,1000G,,GRCh37
HG01063,1000G,,GRCh37
HG01064,1000G,,GRCh37
HG01066,1000G,,GRCh37
HG01067,1000G,,GRCh37
HG01069,1000G,,GRCh37
HG01070,1000G,,GRCh37
HG01072,1000G,,GRCh37
HG01073,1000G,,GRCh37
HG01075,1000G,,GRCh37
HG01077,1000G,,GRCh37
HG01079,1000G,,GRCh37
HG01080,1000G,,GRCh37
HG01082,1000G,,GRCh37
HG01083,1000G,,GRCh37
HG01085,1000G,,GRCh37
HG01086,1000G,,GRCh37
HG01088,1000G,,GRCh37
HG01089,1000G,,GRCh37
HG01092,1000G,,GRCh37
HG01094,1000G,,GRCh37
HG01095,1000G,,GRCh37
HG01097,1000G,,GRCh37
HG01098,1000G,,GRCh37
HG01101,1000G,,GRCh37
HG01102,1000G,,GRCh37
HG01104,1000G,,GRCh37
HG01105,1000G,,GRCh37
HG01107,1000G,,GRCh37
HG01108,1000G,,GRCh37
HG01110,1000G,,GRCh37
HG01111,1000G,,GRCh37
HG01112,1000G,,GRCh37
HG01113,1000G,,GRCh37
HG01119,1000G,,GRCh37
HG01121,1000G,,GRCh37
HG01122,1000G,,GRCh37
HG01124,1000G,,GRCh37
HG01125,1000G,,GRCh37
HG01130,1000G,,GRCh37
HG01131,1000G,,GRCh37
HG01133,1000G,,GRCh37
HG01134,1000G,,GRCh37
HG01136,1000G,,GRCh37
HG01137,1000G,,GRCh37
HG01139,1000G,,GRCh37
HG01140,1000G,,GRCh37
HG01142,1000G,,GRCh37
HG01148,1000G,,GRCh37
HG01149,1000G,,GRCh37
HG01161,1000G,,GRCh37
HG01162,1000G,,GRCh37
HG01164,1000G,,GRCh37
HG01167,1000G,,GRCh37
HG01168,1000G,,GRCh37
HG01170,1000G,,GRCh37
HG01171,1000G,,GRCh37
HG01173,1000G,,GRCh37
HG01174,1000G,,GRCh37
HG01176,1000G,,GRCh37
HG01177,1000G,,GRCh37
HG01182,1000G,,GRCh37
HG01183,1000G,,GRCh37
HG01187,1000G,,GRCh37
HG01188,1000G,,GRCh37
HG01190,1000G,,GRCh37
HG01191,1000G,,GRCh37
HG01197,1000G,,GRCh37
HG01198,1000G,,GRCh37
HG01200,1000G,,GRCh37
HG01204,1000G,,GRCh37
HG01205,1000G,,GRCh37
HG01241,1000G,,GRCh37
HG01242,1000G,,GRCh37
HG01247,1000G,,GRCh37
HG01248,1000G,,GRCh37
HG01250,1000G,,GRCh37
HG01251,1000G,,GRCh37
HG01253,1000G,,GRCh37
HG01254,1000G,,GRCh37
HG01256,1000G,,GRCh37
HG01257,1000G,,GRCh37
HG01259,1000G,,GRCh37
HG01260,1000G,,GRCh37
HG01269,1000G,,GRCh37
HG01271,1000G,,GRCh37
HG01272,1000G,,GRCh37
HG01275,1000G,,GRCh37
HG01277,1000G,,GRCh37
HG01280,1000G,,GRCh37
HG01281,1000G,,GRCh37
HG01284,1000G,,GRCh37
HG01286,1000G,,GRCh37
HG01302,1000G,,GRCh37
HG01303,1000G,,GRCh37
HG01305,1000G,,GRCh37
HG01308,1000G,,GRCh37
HG01311,1000G,,GRCh37
HG01312,1000G,,GRCh37
HG01323,1000G,,GRCh37
HG01325,1000G,,GRCh37
HG01326,1000G,,GRCh37
HG01334,1000G,,GRCh37
HG01341,1000G,,GRCh37
HG01342,1000G,,GRCh37
HG01344,1000G,,GRCh37
HG01345,1000G,,GRCh37
HG01348,1000G,,GRCh37
HG01350,1000G,,GRCh37
HG01351,1000G,,GRCh37
HG01353,1000G,,GRCh37
HG01354,1000G,,GRCh37
HG01356,1000G,,GRCh37
HG01357,1000G,,GRCh37
HG01359,1000G,,GRCh37
HG01360,1000G,,GRCh37
HG01362,1000G,,GRCh37
HG01363,1000G,,GRCh37
HG01365,1000G,,GRCh37
HG01366,1000G,,GRCh37
HG01369,1000G,,GRCh37
HG01372,1000G,,GRCh37
HG01374,1000G,,GRCh37
HG01375,1000G,,GRCh37
HG01377,1000G,,GRCh37
HG01378,1000G,,GRCh37
HG01383,1000G,,GRCh37
