sample_name,sex,dataset,super-population,sub-population
HG03086,Female,ThousandGenomes,AFR,MSL
HG03088,Female,ThousandGenomes,AFR,MSL
HG03091,Female,ThousandGenomes,AFR,MSL
HG03095,Female,ThousandGenomes,AFR,MSL
HG03096,Male,ThousandGenomes,AFR,MSL
HG03097,Female,ThousandGenomes,AFR,MSL
HG03098,Male,ThousandGenomes,AFR,MSL
HG03099,Female,ThousandGenomes,AFR,ESN
HG03100,Male,ThousandGenomes,AFR,ESN
HG03101,Male,ThousandGenomes,AFR,ESN
HG03103,Male,ThousandGenomes,AFR,ESN
HG03105,Female,ThousandGenomes,AFR,ESN
HG03108,Female,ThousandGenomes,AFR,ESN
HG03109,Male,ThousandGenomes,AFR,ESN
HG03110,Female,ThousandGenomes,AFR,ESN
HG03111,Female,ThousandGenomes,AFR,ESN
HG03112,Male,ThousandGenomes,AFR,ESN
HG03113,Female,ThousandGenomes,AFR,ESN
HG03114,Female,ThousandGenomes,AFR,ESN
HG03115,Male,ThousandGenomes,AFR,ESN
HG03116,Female,ThousandGenomes,AFR,ESN
HG03117,Female,ThousandGenomes,AFR,ESN
HG03118,Male,ThousandGenomes,AFR,ESN
HG03119,Female,ThousandGenomes,AFR,ESN
HG03120,Male,ThousandGenomes,AFR,ESN
HG03121,Female,ThousandGenomes,AFR,ESN
HG03122,Male,ThousandGenomes,AFR,ESN
HG03123,Female,ThousandGenomes,AFR,ESN
HG03124,Male,ThousandGenomes,AFR,ESN
HG03125,Female,ThousandGenomes,AFR,ESN
HG03126,Female,ThousandGenomes,AFR,ESN
HG03127,Male,ThousandGenomes,AFR,ESN
HG03128,Male,ThousandGenomes,AFR,ESN
HG03129,Female,ThousandGenomes,AFR,ESN
HG03130,Male,ThousandGenomes,AFR,ESN
HG03131,Male,ThousandGenomes,AFR,ESN
HG03132,Female,ThousandGenomes,AFR,ESN
HG03133,Male,ThousandGenomes,AFR,ESN
HG03134,Male,ThousandGenomes,AFR,ESN
HG03135,Female,ThousandGenomes,AFR,ESN
HG03136,Male,ThousandGenomes,AFR,ESN
HG03137,Male,ThousandGenomes,AFR,ESN
HG03139,Male,ThousandGenomes,AFR,ESN
HG03157,Male,ThousandGenomes,AFR,ESN
HG03159,Female,ThousandGenomes,AFR,ESN
HG03160,Male,ThousandGenomes,AFR,ESN
HG03161,Male,ThousandGenomes,AFR,ESN
HG03162,Female,ThousandGenomes,AFR,ESN
HG03163,Male,ThousandGenomes,AFR,ESN
HG03164,Female,ThousandGenomes,AFR,ESN
HG03166,Male,ThousandGenomes,AFR,ESN
HG03168,Female,ThousandGenomes,AFR,ESN
HG03169,Male,ThousandGenomes,AFR,ESN
HG03170,Male,ThousandGenomes,AFR,ESN
HG03172,Male,ThousandGenomes,AFR,ESN
HG03175,Male,ThousandGenomes,AFR,ESN
HG03189,Female,ThousandGenomes,AFR,ESN
HG03190,Male,ThousandGenomes,AFR,ESN
HG03191,Male,ThousandGenomes,AFR,ESN
HG03193,Male,ThousandGenomes,AFR,ESN
HG03195,Female,ThousandGenomes,AFR,ESN
HG03196,Male,ThousandGenomes,AFR,ESN
HG03197,Male,ThousandGenomes,AFR,ESN
HG03198,Female,ThousandGenomes,AFR,ESN
HG03199,Male,ThousandGenomes,AFR,ESN
HG03200,Female,ThousandGenomes,AFR,ESN
HG03202,Male,ThousandGenomes,AFR,ESN
HG03209,Male,ThousandGenomes,AFR,MSL
HG03212,Female,ThousandGenomes,AFR,MSL
HG03224,Male,ThousandGenomes,AFR,MSL
HG03225,Male,ThousandGenomes,AFR,MSL
HG03228,Male,ThousandGenomes,SAS,PJL
HG03229,Female,ThousandGenomes,SAS,PJL
HG03230,Female,ThousandGenomes,SAS,PJL
HG03234,Male,ThousandGenomes,SAS,PJL
HG03235,Female,ThousandGenomes,SAS,PJL
HG03236,Female,ThousandGenomes,SAS,PJL
HG03237,Male,ThousandGenomes,SAS,PJL
HG03238,Female,ThousandGenomes,SAS,PJL
HG03239,Female,ThousandGenomes,SAS,PJL
HG03240,Male,ThousandGenomes,AFR,GWD
HG03241,Female,ThousandGenomes,AFR,GWD
HG03242,Male,ThousandGenomes,AFR,GWD
HG03246,Male,ThousandGenomes,AFR,GWD
HG03247,Female,ThousandGenomes,AFR,GWD
HG03248,Male,ThousandGenomes,AFR,GWD
HG03249,Male,ThousandGenomes,AFR,GWD
HG03250,Unknown,ThousandGenomes,AFR,GWD
HG03251,Female,ThousandGenomes,AFR,GWD
HG03258,Male,ThousandGenomes,AFR,GWD
HG03259,Female,ThousandGenomes,AFR,GWD
HG03260,Male,ThousandGenomes,AFR,GWD
HG03265,Male,ThousandGenomes,AFR,ESN
HG03267,Female,ThousandGenomes,AFR,ESN
HG03268,Male,ThousandGenomes,AFR,ESN
HG03269,Male,ThousandGenomes,AFR,ESN
HG03270,Female,ThousandGenomes,AFR,ESN
HG03271,Male,ThousandGenomes,AFR,ESN
HG03272,Female,ThousandGenomes,AFR,ESN
HG03279,Female,ThousandGenomes,AFR,ESN
HG03280,Male,ThousandGenomes,AFR,ESN
HG03291,Female,ThousandGenomes,AFR,ESN
HG03294,Female,ThousandGenomes,AFR,ESN
HG03295,Male,ThousandGenomes,AFR,ESN
HG03296,Male,ThousandGenomes,AFR,ESN
HG03297,Female,ThousandGenomes,AFR,ESN
HG03298,Male,ThousandGenomes,AFR,ESN
HG03299,Male,ThousandGenomes,AFR,ESN
HG03300,Female,ThousandGenomes,AFR,ESN
HG03301,Male,ThousandGenomes,AFR,ESN
HG03302,Male,ThousandGenomes,AFR,ESN
HG03303,Female,ThousandGenomes,AFR,ESN
HG03304,Male,ThousandGenomes,AFR,ESN
HG03305,Female,ThousandGenomes,AFR,ESN
HG03306,Female,ThousandGenomes,AFR,ESN
HG03307,Male,ThousandGenomes,AFR,ESN
HG03308,Male,ThousandGenomes,AFR,ESN
HG03309,Female,ThousandGenomes,AFR,ESN
HG03310,Female,ThousandGenomes,AFR,ESN
HG03311,Male,ThousandGenomes,AFR,ESN
HG03312,Female,ThousandGenomes,AFR,ESN
HG03313,Male,ThousandGenomes,AFR,ESN
HG03314,Male,ThousandGenomes,AFR,ESN
HG03342,Female,ThousandGenomes,AFR,ESN
HG03343,Male,ThousandGenomes,AFR,ESN
HG03344,Male,ThousandGenomes,AFR,ESN
HG03350,Male,ThousandGenomes,AFR,ESN
HG03351,Female,ThousandGenomes,AFR,ESN
HG03352,Male,ThousandGenomes,AFR,ESN
HG03354,Female,ThousandGenomes,AFR,ESN
HG03363,Female,ThousandGenomes,AFR,ESN
HG03366,Female,ThousandGenomes,AFR,ESN
HG03367,Male,ThousandGenomes,AFR,ESN
HG03368,Male,ThousandGenomes,AFR,ESN
HG03369,Female,ThousandGenomes,AFR,ESN
HG03370,Male,ThousandGenomes,AFR,ESN
HG03371,Male,ThousandGenomes,AFR,ESN
HG03372,Female,ThousandGenomes,AFR,ESN
HG03373,Male,ThousandGenomes,AFR,ESN
HG03374,Female,ThousandGenomes,AFR,ESN
HG03376,Male,ThousandGenomes,AFR,MSL
HG03378,Female,ThousandGenomes,AFR,MSL
HG03380,Female,ThousandGenomes,AFR,MSL
HG03382,Male,ThousandGenomes,AFR,MSL
HG03385,Male,ThousandGenomes,AFR,MSL
HG03388,Male,ThousandGenomes,AFR,MSL
HG03391,Male,ThousandGenomes,AFR,MSL
HG03394,Male,ThousandGenomes,AFR,MSL
HG03397,Male,ThousandGenomes,AFR,MSL
