sample_name,sex,dataset,super-population,sub-population
HG03890,Male,ThousandGenomes,SAS,STU
HG03894,Female,ThousandGenomes,SAS,STU
HG03895,Female,ThousandGenomes,SAS,STU
HG03896,Male,ThousandGenomes,SAS,STU
HG03897,Female,ThousandGenomes,SAS,STU
HG03898,Female,ThousandGenomes,SAS,STU
HG03899,Male,ThousandGenomes,SAS,STU
HG03900,Male,ThousandGenomes,SAS,STU
HG03902,Male,ThousandGenomes,SAS,BEB
HG03904,Female,ThousandGenomes,SAS,BEB
HG03905,Male,ThousandGenomes,SAS,BEB
HG03906,Male,ThousandGenomes,SAS,BEB
HG03907,Female,ThousandGenomes,SAS,BEB
HG03908,Male,ThousandGenomes,SAS,BEB
HG03909,Male,ThousandGenomes,SAS,BEB
HG03910,Female,ThousandGenomes,SAS,BEB
HG03911,Male,ThousandGenomes,SAS,BEB
HG03913,Female,ThousandGenomes,SAS,BEB
